id,original_position,operation_date_original,type_original,internal_number_original,is_origine_original,label_original,amount_original,sorted_position,operation_date_sorted,type_sorted,internal_number_sorted,is_origine_sorted,label_sorted,amount_sorted,position_diff
226822,116,2025-09-11,plo,INT_93433DD2,False,PAYEMENT EFFET 110925PLO  010396993985,-0.75,122,2025-09-11,plo,INT_93433DD2,False,PAYEMENT EFFET 110925PLO  010396993985,-0.75,6
226823,117,2025-09-11,com,INT_93433DD2,False,PAYEMENT EFFET 110925COM  010396993985,-0.3,123,2025-09-11,com,INT_93433DD2,False,PAYEMENT EFFET 110925COM  010396993985,-0.3,6
226824,118,2025-09-11,origine,INT_93433DD2,True,PAYEMENT EFFET 110925  010396993985,-18868.99,120,2025-09-11,origine,INT_93433DD2,True,PAYEMENT EFFET 110925  010396993985,-18868.99,2
226825,119,2025-09-11,tva,INT_096D4008,False,PAYEMENT EFFET 070925TVA  010396919004,-0.057,125,2025-09-11,tva,INT_096D4008,False,PAYEMENT EFFET 070925TVA  010396919004,-0.057,6
226826,120,2025-09-11,plo,INT_096D4008,False,PAYEMENT EFFET 070925PLO  010396919004,-0.75,126,2025-09-11,plo,INT_096D4008,False,PAYEMENT EFFET 070925PLO  010396919004,-0.75,6
226827,121,2025-09-11,com,INT_096D4008,False,PAYEMENT EFFET 070925COM  010396919004,-0.3,127,2025-09-11,com,INT_096D4008,False,PAYEMENT EFFET 070925COM  010396919004,-0.3,6
226828,122,2025-09-11,origine,INT_096D4008,True,PAYEMENT EFFET 070925  010396919004,-226596.203,124,2025-09-11,origine,INT_096D4008,True,PAYEMENT EFFET 070925  010396919004,-226596.203,2
226829,123,2025-09-11,tva,INT_C6A214F8,False,REGL PRINCIAPL CREDIT IMPAYE TVA,-0.38,128,2025-09-11,tva,INT_C6A214F8,False,REGL PRINCIAPL CREDIT IMPAYE TVA,-0.38,5
226830,124,2025-09-11,com,INT_F1CA5F83,False,REGL PRINCIAPL CREDIT IMPAYE COMMISSION,-2.0,129,2025-09-11,com,INT_F1CA5F83,False,REGL PRINCIAPL CREDIT IMPAYE COMMISSION,-2.0,5
226831,125,2025-09-11,interêts de retard,INT_8D912C0D,False,REGL PRINCIAPL CREDIT IMPAYE INTERÊTS DE RETARD,-203.698,130,2025-09-11,interêts de retard,INT_8D912C0D,False,REGL PRINCIAPL CREDIT IMPAYE INTERÊTS DE RETARD,-203.698,5
226832,126,2025-09-11,origine,INT_22246A23,True,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,-53331.964,131,2025-09-11,origine,INT_22246A23,True,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,-53331.964,5
226833,127,2025-09-11,tva,INT_CEE85A30,False,REGL PRINCIAPL CREDIT IMPAYE TVA,-0.38,132,2025-09-11,tva,INT_CEE85A30,False,REGL PRINCIAPL CREDIT IMPAYE TVA,-0.38,5
226834,128,2025-09-11,com,INT_A2109898,False,REGL PRINCIAPL CREDIT IMPAYE COMMISSION,-2.0,133,2025-09-11,com,INT_A2109898,False,REGL PRINCIAPL CREDIT IMPAYE COMMISSION,-2.0,5
226835,129,2025-09-11,interêts de retard,INT_4BD65F8F,False,REGL PRINCIAPL CREDIT IMPAYE INTERÊTS DE RETARD,-293.855,134,2025-09-11,interêts de retard,INT_4BD65F8F,False,REGL PRINCIAPL CREDIT IMPAYE INTERÊTS DE RETARD,-293.855,5
226836,130,2025-09-11,origine,INT_8A40A684,True,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,-76936.47,135,2025-09-11,origine,INT_8A40A684,True,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,-76936.47,5
226837,131,2025-09-11,tva,INT_FE96CC41,False,REGL PRINCIAPL CREDIT IMPAYE TVA,-0.38,136,2025-09-11,tva,INT_FE96CC41,False,REGL PRINCIAPL CREDIT IMPAYE TVA,-0.38,5
226838,132,2025-09-11,com,INT_25373DC2,False,REGL PRINCIAPL CREDIT IMPAYE COMMISSION,-2.0,137,2025-09-11,com,INT_25373DC2,False,REGL PRINCIAPL CREDIT IMPAYE COMMISSION,-2.0,5
226839,133,2025-09-11,interêts de retard,INT_3A8D7D13,False,REGL PRINCIAPL CREDIT IMPAYE INTERÊTS DE RETARD,-65.476,138,2025-09-11,interêts de retard,INT_3A8D7D13,False,REGL PRINCIAPL CREDIT IMPAYE INTERÊTS DE RETARD,-65.476,5
226840,134,2025-09-11,origine,INT_38E97FD1,True,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,-17142.852,139,2025-09-11,origine,INT_38E97FD1,True,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,-17142.852,5
226841,135,2025-09-11,tva,INT_3E1A614B,False,REGL PRINCIAPL CREDIT IMPAYE TVA,-0.38,140,2025-09-11,tva,INT_3E1A614B,False,REGL PRINCIAPL CREDIT IMPAYE TVA,-0.38,5
226842,136,2025-09-11,com,INT_9AAEF1A4,False,REGL PRINCIAPL CREDIT IMPAYE COMMISSION,-2.0,141,2025-09-11,com,INT_9AAEF1A4,False,REGL PRINCIAPL CREDIT IMPAYE COMMISSION,-2.0,5
226843,137,2025-09-11,interêts de retard,INT_1FACF4EF,False,REGL PRINCIAPL CREDIT IMPAYE INTERÊTS DE RETARD,-88.839,142,2025-09-11,interêts de retard,INT_1FACF4EF,False,REGL PRINCIAPL CREDIT IMPAYE INTERÊTS DE RETARD,-88.839,5
226844,138,2025-09-11,origine,INT_EED33878,True,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,-23259.546,143,2025-09-11,origine,INT_EED33878,True,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,-23259.546,5
226845,139,2025-09-11,tva,INT_BAA7BA7E,False,REGL PRINCIAPL CREDIT IMPAYE TVA,-0.38,144,2025-09-11,tva,INT_BAA7BA7E,False,REGL PRINCIAPL CREDIT IMPAYE TVA,-0.38,5
226846,140,2025-09-11,com,INT_E42261BC,False,REGL PRINCIAPL CREDIT IMPAYE COMMISSION,-2.0,145,2025-09-11,com,INT_E42261BC,False,REGL PRINCIAPL CREDIT IMPAYE COMMISSION,-2.0,5
226847,141,2025-09-11,interêts de retard,INT_A8A361F1,False,REGL PRINCIAPL CREDIT IMPAYE INTERÊTS DE RETARD,-100.866,146,2025-09-11,interêts de retard,INT_A8A361F1,False,REGL PRINCIAPL CREDIT IMPAYE INTERÊTS DE RETARD,-100.866,5
226848,142,2025-09-11,origine,INT_EAF8E181,True,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,-26408.461,147,2025-09-11,origine,INT_EAF8E181,True,REGL PRINCIAPL CREDIT IMPAYE DU  31 08 2025,-26408.461,5
226849,143,2025-09-12,duplic contrat location cess tva,INT_1BCC9143,False,DUPLIC CONTRAT LOCATION CESS TVA COLLECTEE SUR OPERATIONS D,-5.7,148,2025-09-12,duplic contrat location cess tva,INT_1BCC9143,False,DUPLIC CONTRAT LOCATION CESS TVA COLLECTEE SUR OPERATIONS D,-5.7,5
226850,144,2025-09-12,duplic contrat location cess commission,INT_46761190,False,DUPLIC CONTRAT LOCATION CESS COMMISSION FDUPCTLOCE,-30.0,149,2025-09-12,duplic contrat location cess commission,INT_46761190,False,DUPLIC CONTRAT LOCATION CESS COMMISSION FDUPCTLOCE,-30.0,5
226851,145,2025-09-12,,INT_6F18BA6C,False,PROROGATION EFFET CREDIT AGIOS,8481.885,150,2025-09-12,,INT_6F18BA6C,False,PROROGATION EFFET CREDIT AGIOS,8481.885,5
226852,146,2025-09-12,origine,INT_ABACF1D3,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,107217.91,151,2025-09-12,origine,INT_ABACF1D3,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,107217.91,5
226853,147,2025-09-12,tva,INT_45EBC154,False,RETOUR D'EFFET REJETE 310725TVA LCN 10166488617,-0.285,153,2025-09-12,tva,INT_45EBC154,False,RETOUR D'EFFET REJETE 310725TVA LCN 10166488617,-0.285,6
226854,148,2025-09-12,com,INT_25A01FD6,False,RETOUR D'EFFET REJETE 310725COM LCN 10166488617,-1.5,154,2025-09-12,com,INT_25A01FD6,False,RETOUR D'EFFET REJETE 310725COM LCN 10166488617,-1.5,6
226855,149,2025-09-12,origine,INT_C9947C54,True,PAYEMENT EFFET/ENCAISSEMENT LCN 010309291435,4500.0,155,2025-09-12,origine,INT_C9947C54,True,PAYEMENT EFFET/ENCAISSEMENT LCN 010309291435,4500.0,6
226856,150,2025-09-12,origine,INT_2FE435D5,True,PAYEMENT EFFET/ENCAISSEMENT LCN 010309252150,7000.0,156,2025-09-12,origine,INT_2FE435D5,True,PAYEMENT EFFET/ENCAISSEMENT LCN 010309252150,7000.0,6
226857,151,2025-09-12,origine,INT_3A28E5DF,True,PAYEMENT EFFET/ENCAISSEMENT LCN 010309291532,4500.0,157,2025-09-12,origine,INT_3A28E5DF,True,PAYEMENT EFFET/ENCAISSEMENT LCN 010309291532,4500.0,6
226858,152,2025-09-12,tva,INT_A0D9B43C,False,ENCAISSEMENT REMISE CHEQUES TVA Bordereau No0001010,-0.048,159,2025-09-12,tva,INT_A0D9B43C,False,ENCAISSEMENT REMISE CHEQUES TVA Bordereau No0001010,-0.048,7
226859,153,2025-09-12,com,INT_A0D9B43C,False,ENCAISSEMENT REMISE CHEQUES COMMISSION Bordereau No0001010,-0.25,160,2025-09-12,com,INT_A0D9B43C,False,ENCAISSEMENT REMISE CHEQUES COMMISSION Bordereau No0001010,-0.25,7
226860,154,2025-09-12,origine,INT_A0D9B43C,True,ENCAISSEMENT REMISE CHEQUES DU 11 09 2025 Bordereau No0001010,19143.484,158,2025-09-12,origine,INT_A0D9B43C,True,ENCAISSEMENT REMISE CHEQUES DU 11 09 2025 Bordereau No0001010,19143.484,4
226861,155,2025-09-15,origine,INT_9C99B047,True,VIREMENT MEME CLIENT STE PRODTS PHARMACEU,50000.0,161,2025-09-15,origine,INT_9C99B047,True,VIREMENT MEME CLIENT STE PRODTS PHARMACEU,50000.0,6
226862,156,2025-09-15,origine,INT_975789BA,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,45000.0,162,2025-09-15,origine,INT_975789BA,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,45000.0,6
226863,157,2025-09-15,origine,INT_A28A8459,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,358980.296,163,2025-09-15,origine,INT_A28A8459,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,358980.296,6
226864,158,2025-09-15,tva,INT_BFC53D20,False,PAYEMENT EFFET 130925TVA  010155475237,-0.057,166,2025-09-15,tva,INT_BFC53D20,False,PAYEMENT EFFET 130925TVA  010155475237,-0.057,8
226865,159,2025-09-15,plo,INT_BFC53D20,False,PAYEMENT EFFET 130925PLO  010155475237,-0.75,167,2025-09-15,plo,INT_BFC53D20,False,PAYEMENT EFFET 130925PLO  010155475237,-0.75,8
226866,160,2025-09-15,com,INT_BFC53D20,False,PAYEMENT EFFET 130925COM  010155475237,-0.3,168,2025-09-15,com,INT_BFC53D20,False,PAYEMENT EFFET 130925COM  010155475237,-0.3,8
226867,161,2025-09-15,origine,INT_BFC53D20,True,PAYEMENT EFFET 130925  010155475237,-67268.014,165,2025-09-15,origine,INT_BFC53D20,True,PAYEMENT EFFET 130925  010155475237,-67268.014,4
226868,162,2025-09-15,tva,INT_8241E11B,False,REGLEMENT EFFET ESCOMPTE 140925TVA,-0.057,170,2025-09-15,tva,INT_8241E11B,False,REGLEMENT EFFET ESCOMPTE 140925TVA,-0.057,8
226869,163,2025-09-15,plo,INT_8241E11B,False,REGLEMENT EFFET ESCOMPTE 140925PLO,-0.75,171,2025-09-15,plo,INT_8241E11B,False,REGLEMENT EFFET ESCOMPTE 140925PLO,-0.75,8
226870,164,2025-09-15,com,INT_8241E11B,False,REGLEMENT EFFET ESCOMPTE 140925COM,-0.3,172,2025-09-15,com,INT_8241E11B,False,REGLEMENT EFFET ESCOMPTE 140925COM,-0.3,8
226871,165,2025-09-15,origine,INT_8241E11B,True,REGLEMENT EFFET ESCOMPTE 140925,-26570.391,169,2025-09-15,origine,INT_8241E11B,True,REGLEMENT EFFET ESCOMPTE 140925,-26570.391,4
226872,166,2025-09-16,agios,INT_CF4F26D5,False,REMISE EFFET/ESCOMPTE AGENCE DU 01 09 2025,-1167.402,9,2025-09-16,agios,INT_CF4F26D5,False,REMISE EFFET/ESCOMPTE AGENCE DU 01 09 2025,-1167.402,-157
226873,167,2025-09-16,tva,INT_140015EE,False,REPRISE ESCOMPTE EFFET REJETE 150925TVA LCN 10396990881,-0.285,174,2025-09-16,tva,INT_140015EE,False,REPRISE ESCOMPTE EFFET REJETE 150925TVA LCN 10396990881,-0.285,7
226874,168,2025-09-16,com,INT_140015EE,False,REPRISE ESCOMPTE EFFET REJETE 150925COM LCN 10396990881,-1.5,175,2025-09-16,com,INT_140015EE,False,REPRISE ESCOMPTE EFFET REJETE 150925COM LCN 10396990881,-1.5,7
226875,169,2025-09-16,origine,INT_140015EE,True,REPRISE ESCOMPTE EFFET REJETE 150925 LCN 10396990881,-37236.982,173,2025-09-16,origine,INT_140015EE,True,REPRISE ESCOMPTE EFFET REJETE 150925 LCN 10396990881,-37236.982,4
226876,170,2025-09-16,tva,INT_7D4629B2,False,ENCAISSEMENT REMISE CHEQUES TVA Bordereau No0001014,-0.288,177,2025-09-16,tva,INT_7D4629B2,False,ENCAISSEMENT REMISE CHEQUES TVA Bordereau No0001014,-0.288,7
226877,171,2025-09-16,com,INT_7D4629B2,False,ENCAISSEMENT REMISE CHEQUES COMMISSION Bordereau No0001014,-1.5,178,2025-09-16,com,INT_7D4629B2,False,ENCAISSEMENT REMISE CHEQUES COMMISSION Bordereau No0001014,-1.5,7
226878,172,2025-09-16,origine,INT_7D4629B2,True,ENCAISSEMENT REMISE CHEQUES DU 12 09 2025 Bordereau No0001014,86650.153,176,2025-09-16,origine,INT_7D4629B2,True,ENCAISSEMENT REMISE CHEQUES DU 12 09 2025 Bordereau No0001014,86650.153,4
226879,173,2025-09-16,tva,INT_9AA602B9,False,VIREMENT REÇU 7176667   TVA,-0.095,180,2025-09-16,tva,INT_9AA602B9,False,VIREMENT REÇU 7176667   TVA,-0.095,7
226880,174,2025-09-16,com,INT_9AA602B9,False,VIREMENT REÇU 7176667   Commission,-0.5,181,2025-09-16,com,INT_9AA602B9,False,VIREMENT REÇU 7176667   Commission,-0.5,7
226881,175,2025-09-16,origine,INT_9AA602B9,True,VIREMENT REÇU 7176667   ANANE HATEM BEN SADOK,42060.596,179,2025-09-16,origine,INT_9AA602B9,True,VIREMENT REÇU 7176667   ANANE HATEM BEN SADOK,42060.596,4
226882,176,2025-09-17,agios,INT_D67C752F,False,REMISE EFFET/ESCOMPTE AGENCE DU 05 09 2025,-1362.043,80,2025-09-17,agios,INT_D67C752F,False,REMISE EFFET/ESCOMPTE AGENCE DU 05 09 2025,-1362.043,-96
226883,177,2025-09-17,agios,INT_1D0F83E9,False,REMISE EFFET/ESCOMPTE AGENCE DU 05 09 2025,-2063.271,182,2025-09-17,agios,INT_1D0F83E9,False,REMISE EFFET/ESCOMPTE AGENCE DU 05 09 2025,-2063.271,5
226884,178,2025-09-17,agios,INT_5BFC29DD,False,REMISE EFFET/ESCOMPTE AGENCE DU 03 09 2025,-4082.303,70,2025-09-17,agios,INT_5BFC29DD,False,REMISE EFFET/ESCOMPTE AGENCE DU 03 09 2025,-4082.303,-108
226885,179,2025-09-17,origine,INT_33598FBB,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,72291.267,183,2025-09-17,origine,INT_33598FBB,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,72291.267,4
226886,180,2025-09-17,tva,INT_5D731636,False,REPRISE ESCOMPTE EFFET REJETE 160925TVA LCN 9914991091,-0.285,185,2025-09-17,tva,INT_5D731636,False,REPRISE ESCOMPTE EFFET REJETE 160925TVA LCN 9914991091,-0.285,5
226887,181,2025-09-17,com,INT_5D731636,False,REPRISE ESCOMPTE EFFET REJETE 160925COM LCN 9914991091,-1.5,186,2025-09-17,com,INT_5D731636,False,REPRISE ESCOMPTE EFFET REJETE 160925COM LCN 9914991091,-1.5,5
226888,182,2025-09-17,origine,INT_5D731636,True,REPRISE ESCOMPTE EFFET REJETE 160925 LCN 9914991091,-18719.325,184,2025-09-17,origine,INT_5D731636,True,REPRISE ESCOMPTE EFFET REJETE 160925 LCN 9914991091,-18719.325,2
226889,183,2025-09-18,agios,INT_8A9637A2,False,REMISE EFFET/ESCOMPTE AGENCE DU 08 09 2025,-3860.531,187,2025-09-18,agios,INT_8A9637A2,False,REMISE EFFET/ESCOMPTE AGENCE DU 08 09 2025,-3860.531,4
226890,184,2025-09-18,tva,INT_9382D010,False,PAYEMENT EFFET 180925TVA  010155479020,-0.057,189,2025-09-18,tva,INT_9382D010,False,PAYEMENT EFFET 180925TVA  010155479020,-0.057,5
226891,185,2025-09-18,plo,INT_9382D010,False,PAYEMENT EFFET 180925PLO  010155479020,-0.75,190,2025-09-18,plo,INT_9382D010,False,PAYEMENT EFFET 180925PLO  010155479020,-0.75,5
226892,186,2025-09-18,com,INT_9382D010,False,PAYEMENT EFFET 180925COM  010155479020,-0.3,191,2025-09-18,com,INT_9382D010,False,PAYEMENT EFFET 180925COM  010155479020,-0.3,5
226893,187,2025-09-18,origine,INT_9382D010,True,PAYEMENT EFFET 180925  010155479020,-26468.153,188,2025-09-18,origine,INT_9382D010,True,PAYEMENT EFFET 180925  010155479020,-26468.153,1
226894,188,2025-09-18,tva,INT_9EFD6EFC,False,REPRISE ESCOMPTE EFFET REJETE 150925TVA LCN 10155444391,-0.285,193,2025-09-18,tva,INT_9EFD6EFC,False,REPRISE ESCOMPTE EFFET REJETE 150925TVA LCN 10155444391,-0.285,5
226895,189,2025-09-18,com,INT_9EFD6EFC,False,REPRISE ESCOMPTE EFFET REJETE 150925COM LCN 10155444391,-1.5,194,2025-09-18,com,INT_9EFD6EFC,False,REPRISE ESCOMPTE EFFET REJETE 150925COM LCN 10155444391,-1.5,5
226896,190,2025-09-18,origine,INT_9EFD6EFC,True,REPRISE ESCOMPTE EFFET REJETE 150925 LCN 10155444391,-31268.47,192,2025-09-18,origine,INT_9EFD6EFC,True,REPRISE ESCOMPTE EFFET REJETE 150925 LCN 10155444391,-31268.47,2
226897,191,2025-09-18,tva,INT_5BBCE831,False,REPRISE ESCOMPTE EFFET REJETE 170925TVA LCN 10155486004,-0.285,196,2025-09-18,tva,INT_5BBCE831,False,REPRISE ESCOMPTE EFFET REJETE 170925TVA LCN 10155486004,-0.285,5
226898,192,2025-09-18,com,INT_5BBCE831,False,REPRISE ESCOMPTE EFFET REJETE 170925COM LCN 10155486004,-1.5,197,2025-09-18,com,INT_5BBCE831,False,REPRISE ESCOMPTE EFFET REJETE 170925COM LCN 10155486004,-1.5,5
226899,193,2025-09-18,origine,INT_5BBCE831,True,REPRISE ESCOMPTE EFFET REJETE 170925 LCN 10155486004,-18731.616,195,2025-09-18,origine,INT_5BBCE831,True,REPRISE ESCOMPTE EFFET REJETE 170925 LCN 10155486004,-18731.616,2
226900,194,2025-09-19,origine,INT_6CA72A2C,True,ENCAISSEMENT REMISE CHEQUES DU 18 09 2025 Bordereau No0489003,19335.199,199,2025-09-19,origine,INT_6CA72A2C,True,ENCAISSEMENT REMISE CHEQUES DU 18 09 2025 Bordereau No0489003,19335.199,5
226901,195,2025-09-19,tva,INT_4FD781EC,False,ENCAISSEMENT REMISE CHEQUES TVA Bordereau No0489002,-0.144,201,2025-09-19,tva,INT_4FD781EC,False,ENCAISSEMENT REMISE CHEQUES TVA Bordereau No0489002,-0.144,6
226902,196,2025-09-19,com,INT_4FD781EC,False,ENCAISSEMENT REMISE CHEQUES COMMISSION Bordereau No0489002,-0.75,202,2025-09-19,com,INT_4FD781EC,False,ENCAISSEMENT REMISE CHEQUES COMMISSION Bordereau No0489002,-0.75,6
226903,197,2025-09-19,origine,INT_4FD781EC,True,ENCAISSEMENT REMISE CHEQUES DU 18 09 2025 Bordereau No0489002,22137.278,200,2025-09-19,origine,INT_4FD781EC,True,ENCAISSEMENT REMISE CHEQUES DU 18 09 2025 Bordereau No0489002,22137.278,3
226904,198,2025-09-22,credit de gestion t.v.a.,INT_97711FF3,False,COMM ETUDE / CREDIT DE GESTION T.V.A.,-190.0,203,2025-09-22,credit de gestion t.v.a.,INT_97711FF3,False,COMM ETUDE / CREDIT DE GESTION T.V.A.,-190.0,5
226905,199,2025-09-22,credit de gestion commission co etcrges,INT_500B5224,False,COMM ETUDE / CREDIT DE GESTION COMMISSION CO ETCRGES,-1000.0,204,2025-09-22,credit de gestion commission co etcrges,INT_500B5224,False,COMM ETUDE / CREDIT DE GESTION COMMISSION CO ETCRGES,-1000.0,5
226906,200,2025-09-22,com / aut db passagere t.v.a.,INT_956D156F,False,COM / AUT DB PASSAGERE T.V.A.,-5.7,205,2025-09-22,com / aut db passagere t.v.a.,INT_956D156F,False,COM / AUT DB PASSAGERE T.V.A.,-5.7,5
226907,201,2025-09-22,com / aut db passagere commission cgespa eps,INT_AFE643DA,False,COM / AUT DB PASSAGERE COMMISSION CGESPA EPS,-30.0,206,2025-09-22,com / aut db passagere commission cgespa eps,INT_AFE643DA,False,COM / AUT DB PASSAGERE COMMISSION CGESPA EPS,-30.0,5
226908,202,2025-09-22,tva,INT_CE3EC309,False,PAYEMENT EFFET 210925TVA  010155469223,-0.057,208,2025-09-22,tva,INT_CE3EC309,False,PAYEMENT EFFET 210925TVA  010155469223,-0.057,6
226909,203,2025-09-22,plo,INT_CE3EC309,False,PAYEMENT EFFET 210925PLO  010155469223,-0.75,209,2025-09-22,plo,INT_CE3EC309,False,PAYEMENT EFFET 210925PLO  010155469223,-0.75,6
226910,204,2025-09-22,com,INT_CE3EC309,False,PAYEMENT EFFET 210925COM  010155469223,-0.3,210,2025-09-22,com,INT_CE3EC309,False,PAYEMENT EFFET 210925COM  010155469223,-0.3,6
226911,205,2025-09-22,origine,INT_CE3EC309,True,PAYEMENT EFFET 210925  010155469223,-208602.085,207,2025-09-22,origine,INT_CE3EC309,True,PAYEMENT EFFET 210925  010155469223,-208602.085,2
226912,206,2025-09-22,tva,INT_BB92D06F,False,PAYEMENT EFFET 220925TVA  010155481639,-0.057,216,2025-09-22,tva,INT_BB92D06F,False,PAYEMENT EFFET 220925TVA  010155481639,-0.057,10
226913,207,2025-09-22,plo,INT_BB92D06F,False,PAYEMENT EFFET 220925PLO  010155481639,-0.75,217,2025-09-22,plo,INT_BB92D06F,False,PAYEMENT EFFET 220925PLO  010155481639,-0.75,10
226914,208,2025-09-22,com,INT_BB92D06F,False,PAYEMENT EFFET 220925COM  010155481639,-0.3,218,2025-09-22,com,INT_BB92D06F,False,PAYEMENT EFFET 220925COM  010155481639,-0.3,10
226915,209,2025-09-22,origine,INT_BB92D06F,True,PAYEMENT EFFET 220925  010155481639,-40445.27,215,2025-09-22,origine,INT_BB92D06F,True,PAYEMENT EFFET 220925  010155481639,-40445.27,6
226916,210,2025-09-22,tva,INT_CE3EC309,False,REGLEMENT EFFET/ENCAISSEMENT 210925TVA,-0.057,211,2025-09-22,tva,INT_CE3EC309,False,REGLEMENT EFFET/ENCAISSEMENT 210925TVA,-0.057,1
226917,211,2025-09-22,plo,INT_CE3EC309,False,REGLEMENT EFFET/ENCAISSEMENT 210925PLO,-0.75,212,2025-09-22,plo,INT_CE3EC309,False,REGLEMENT EFFET/ENCAISSEMENT 210925PLO,-0.75,1
226918,212,2025-09-22,com,INT_CE3EC309,False,REGLEMENT EFFET/ENCAISSEMENT 210925COM,-0.3,213,2025-09-22,com,INT_CE3EC309,False,REGLEMENT EFFET/ENCAISSEMENT 210925COM,-0.3,1
226919,213,2025-09-22,,INT_CE3EC309,False,REGLEMENT EFFET/ENCAISSEMENT 210925,-21832.547,214,2025-09-22,,INT_CE3EC309,False,REGLEMENT EFFET/ENCAISSEMENT 210925,-21832.547,1
226920,214,2025-09-22,origine,INT_5F87F47D,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,294609.571,219,2025-09-22,origine,INT_5F87F47D,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,294609.571,5
226921,215,2025-09-22,tva,INT_57536CA6,False,VIREMENT REÇU 9900326   TVA,-0.095,221,2025-09-22,tva,INT_57536CA6,False,VIREMENT REÇU 9900326   TVA,-0.095,6
226922,216,2025-09-22,com,INT_57536CA6,False,VIREMENT REÇU 9900326   Commission,-0.5,222,2025-09-22,com,INT_57536CA6,False,VIREMENT REÇU 9900326   Commission,-0.5,6
226923,217,2025-09-22,origine,INT_57536CA6,True,VIREMENT REÇU 9900326   PHARMACIE NOUIRA RAOUF,40000.0,220,2025-09-22,origine,INT_57536CA6,True,VIREMENT REÇU 9900326   PHARMACIE NOUIRA RAOUF,40000.0,3
226924,218,2025-09-23,,INT_5BBCE831,False,REMISE EFFET/ENCAISSEMENT DU 17 09 2025,-0.357,198,2025-09-23,,INT_5BBCE831,False,REMISE EFFET/ENCAISSEMENT DU 17 09 2025,-0.357,-20
226925,219,2025-09-23,agios,INT_A183A2CE,False,REMISE EFFET/ESCOMPTE AGENCE DU 10 09 2025,-2807.195,108,2025-09-23,agios,INT_A183A2CE,False,REMISE EFFET/ESCOMPTE AGENCE DU 10 09 2025,-2807.195,-111
226926,220,2025-09-23,agios,INT_B67E1F66,False,REMISE EFFET/ESCOMPTE AGENCE DU 02 09 2025,-1784.06,68,2025-09-23,agios,INT_B67E1F66,False,REMISE EFFET/ESCOMPTE AGENCE DU 02 09 2025,-1784.06,-152
226927,221,2025-09-23,agios,INT_ABACF1D3,False,REMISE EFFET/ESCOMPTE AGENCE DU 12 09 2025,-2576.998,152,2025-09-23,agios,INT_ABACF1D3,False,REMISE EFFET/ESCOMPTE AGENCE DU 12 09 2025,-2576.998,-69
226928,222,2025-09-23,tva,INT_92872FCB,False,REPRISE ESCOMPTE EFFET REJETE 200925TVA LCN 10155485034,-0.285,224,2025-09-23,tva,INT_92872FCB,False,REPRISE ESCOMPTE EFFET REJETE 200925TVA LCN 10155485034,-0.285,2
226929,223,2025-09-23,com,INT_92872FCB,False,REPRISE ESCOMPTE EFFET REJETE 200925COM LCN 10155485034,-1.5,225,2025-09-23,com,INT_92872FCB,False,REPRISE ESCOMPTE EFFET REJETE 200925COM LCN 10155485034,-1.5,2
226930,224,2025-09-23,origine,INT_92872FCB,True,REPRISE ESCOMPTE EFFET REJETE 200925 LCN 10155485034,-53592.784,223,2025-09-23,origine,INT_92872FCB,True,REPRISE ESCOMPTE EFFET REJETE 200925 LCN 10155485034,-53592.784,-1
226931,225,2025-09-23,tva,INT_A8A0A511,False,REPRISE ESCOMPTE EFFET REJETE 200925TVA LCN 10816997971,-0.285,227,2025-09-23,tva,INT_A8A0A511,False,REPRISE ESCOMPTE EFFET REJETE 200925TVA LCN 10816997971,-0.285,2
226932,226,2025-09-23,com,INT_A8A0A511,False,REPRISE ESCOMPTE EFFET REJETE 200925COM LCN 10816997971,-1.5,228,2025-09-23,com,INT_A8A0A511,False,REPRISE ESCOMPTE EFFET REJETE 200925COM LCN 10816997971,-1.5,2
226933,227,2025-09-23,origine,INT_A8A0A511,True,REPRISE ESCOMPTE EFFET REJETE 200925 LCN 10816997971,-6500.0,226,2025-09-23,origine,INT_A8A0A511,True,REPRISE ESCOMPTE EFFET REJETE 200925 LCN 10816997971,-6500.0,-1
226934,228,2025-09-23,tva,INT_DE9960C0,False,REPRISE ESCOMPTE EFFET REJETE 220925TVA LCN 10203879013,-0.285,230,2025-09-23,tva,INT_DE9960C0,False,REPRISE ESCOMPTE EFFET REJETE 220925TVA LCN 10203879013,-0.285,2
